fips,county,state,base_cancer,base_neuro,base_amr,w_pm25,w_poverty,w_access,pm25,poverty,access
01097,Mobile,AL,0.5476805437017532,0.5984945200841282,0.5361555555555556,1.0,0.8,-0.7,8.076176111111112,0.6199876619370761,0.898
01099,Monroe,AL,0.5,0.5,0.7363,1.0,0.8,-0.7,,1.0,0.879
01101,Montgomery,AL,0.47198392673824313,0.633804755737027,0.5594888888888886,1.0,0.8,-0.7,7.808058999999999,0.8173966687230111,0.898
01103,Morgan,AL,0.5401482643516591,0.48190314550605534,0.4302666666666666,1.0,0.8,-0.7,7.317051666666667,0.5860579888957439,0.888
01105,Perry,AL,0.5,0.5,0.7414,1.0,0.8,-0.7,,1.0,0.862
01107,Pickens,AL,0.5,0.5,0.6935333333333332,1.0,0.8,-0.7,,1.0,0.866
01109,Pike,AL,0.5,0.5,0.3808999999999999,1.0,0.8,-0.7,,0.5829734731647132,0.897
01111,Randolph,AL,0.5,0.5,0.5361555555555556,1.0,0.8,-0.7,,0.6292412091301666,0.898
01113,Russell,AL,0.7178523391410879,0.7338348235108939,0.6345888888888888,1.0,0.8,-0.7,8.264907000000001,0.8636644046884645,0.881
01115,St. Clair,AL,0.5,0.5,0.29204444444444444,1.0,0.8,-0.7,,0.5367057371992597,0.908
01117,Shelby,AL,0.5,0.5,0.14574444444444437,1.0,0.8,-0.7,,0.09253547193090689,0.929
01119,Sumter,AL,0.45809177386567584,0.8015304007651738,0.7333,1.0,0.8,-0.7,5.850090888888889,1.0,0.889
01121,Talladega,AL,0.5,0.5,0.6238111111111109,1.0,0.8,-0.7,,0.928439235040099,0.891
01123,Tallapoosa,AL,0.5,0.5,0.59,1.0,0.8,-0.7,,0.6847624922887109,0.9
01125,Tuscaloosa,AL,0.28142212210529577,0.23562050620608369,0.21456666666666663,1.0,0.8,-0.7,5.559704,0.4996915484268971,0.907
01127,Walker,AL,0.5,0.5,0.45987777777777766,1.0,0.8,-0.7,,0.5829734731647132,0.893
01129,Washington,AL,0.5,0.5,0.6046555555555554,1.0,0.8,-0.7,,0.7711289327575577,0.903
01131,Wilcox,AL,0.5,0.5,0.7432,1.0,0.8,-0.7,,1.0,0.856
01133,Winston,AL,0.5,0.5,0.5717666666666666,1.0,0.8,-0.7,,0.7649599012954968,0.883
02013,Aleutians East,AK,0.5,0.5,0.2959888888888889,1.0,0.8,-0.7,,0.31153608883405326,0.843
02016,Aleutians West,AK,0.5,0.5,0.13233333333333339,1.0,0.8,-0.7,,0.2621838371375691,0.87
02020,Anchorage,AK,0.2766986196919118,0.06149456977453448,0.02849999999999999,1.0,0.8,-0.7,5.119358176470588,0.23133867982726725,0.905
02050,Bethel,AK,0.5,0.5,0.3743666666666667,1.0,0.8,-0.7,,1.0,0.841
02060,Bristol Bay,AK,0.5,0.5,0.16132222222222226,1.0,0.8,-0.7,,0.3793954349167184,0.903
02063,Chugach,AK,0.5,0.5,0.02639999999999999,1.0,0.8,-0.7,,0.15731030228254198,0.912
02066,Copper River,AK,0.5,0.5,0.1685,1.0,0.8,-0.7,,0.3824799506477484,0.905
02068,Denali,AK,0.5,0.5,0.02789999999999999,1.0,0.8,-0.7,,0.17890191239975334,0.907
02070,Dillingham,AK,0.5,0.5,0.3043444444444444,1.0,0.8,-0.7,,0.8266502159161015,0.867
02090,Fairbanks North Star,AK,0.541855642182748,0.2988106276624326,0.02969999999999999,1.0,0.8,-0.7,9.450843308411216,0.20357803824799478,0.901
02100,Haines,AK,0.5,0.5,0.11643333333333336,1.0,0.8,-0.7,,0.2529302899444786,0.923
02105,Hoonah-Angoon,AK,0.5,0.5,0.43504444444444446,1.0,0.8,-0.7,,0.6477483035163483,0.898
02110,Juneau,AK,0.26501904499310797,0.10650281076629337,0.025499999999999988,1.0,0.8,-0.7,5.02824875,0.22825416409623686,0.915
02122,Kenai Peninsula,AK,0.5,0.5,0.045255555555555625,1.0,0.8,-0.7,,0.24059222702035807,0.901
02130,Ketchikan Gateway,AK,0.5,0.5,0.06738888888888887,1.0,0.8,-0.7,,0.4102405922270206,0.905
02150,Kodiak Island,AK,0.5,0.5,0.04705555555555563,1.0,0.8,-0.7,,0.18198642813078342,0.895
02158,Kusilvak,AK,0.5,0.5,0.5909666666666666,1.0,0.8,-0.7,,1.0,0.819
02164,Lake and Peninsula,AK,0.5,0.5,0.4251888888888888,1.0,0.8,-0.7,,0.8729179518815547,0.879
02170,Matanuska-Susitna,AK,0.3981981981981982,0.07500000000000007,0.02909999999999999,1.0,0.8,-0.7,3.766192888888889,0.41332510795805066,0.903
02180,Nome,AK,0.5,0.5,0.3049444444444444,1.0,0.8,-0.7,,0.9222702035780386,0.865
02185,North Slope,AK,0.5,0.5,0.12693333333333337,1.0,0.8,-0.7,,0.7248611967921036,0.888
02188,Northwest Arctic,AK,0.5,0.5,0.39259999999999995,1.0,0.8,-0.7,,1.0,0.858
02195,Petersburg,AK,0.5,0.5,0.0994,1.0,0.8,-0.7,,0.17890191239975334,0.902
